     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,        12,         0,   0.781,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       100,         7,         0,   0.750,pymatching,ed933279d6dbbe17c503b8f2bda6d2628c4ef0b6e5ebe0febe8da837193e81f9,"{""d"":5,""eta"":10,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,10],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,10],""distance"":5,""rounds"":15}}",
       200,        18,         0,   0.015,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       200,        12,         0,   0.015,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       100,        12,         0,   0.813,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
       600,        55,         0,   0.016,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       900,        88,         0,   0.016,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      1000,        84,         0,   0.031,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       100,         7,         0,   0.860,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
      2200,       224,         0,   0.046,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       100,         5,         0,   0.890,pymatching,787c9838013e0b110650a61bf2a7df071581c11261e761875f8c30d7f92d7cdf,"{""d"":13,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":13,""rounds"":39}}",
